;I-XFT-D1;I-XFT-D2;I-XFT-T1;I-XFT-T2;I-XFT-E;I-XFT-SM;I-XFT-PG;I-OPO1;I-OPO2;I-SM1;I-SM2;I-DM1;I-DM2;I-PgM;I-O1;I-O2
XFT-D1;;3;2;3;3;3;;;;;;;;;;
XFT-D2;3;;1;2;2;3;;;;;;;;;;
XFT-T1;2;1;;3;;2;;;;;;;;;;
XFT-T2;3;2;3;;1;1;;;;;;;;;;
XFT-E;3;2;;1;;3;;;;;;;;;;
XFT-SM;3;3;2;2;3;;2;3;;;;;;;;
XFT-PG;;;;;;2;;3;;1;;;;;;
OPO1;;;;;;3;;;3;2;;;;3;;
OPO2;;;;;;;;;;;;;;;;
SM1;;;;;;;;3;3;;2;3;4;;;
SM2;;;;;;;;;;;;;;;;
DM1;;;;;;;;;;2;;;;3;4;4
DM2;;;;;;;;;;4;;;;3;3;
PgM;;;;;;;;3;;;;;;;3;3
O1;;;;;;;;;;;;;;;;
O2;;;;;;;;;;;;;;;;
