;I-XFT-D1;I-XFT-D2;I-XFT-T1;I-XFT-T2;I-XFT-E;I-XFT-SM;I-XFT-PG;I-OPO1;I-OPO2;I-SM1;I-SM2;I-DM1;I-DM2;I-PgM;I-O1;I-O2
XFT-D1;0;3;2;3;3;3;0;0;0;0;0;0;0;0;0;0
XFT-D2;3;0;1;2;2;3;0;0;0;0;0;0;0;0;0;0
XFT-T1;2;1;0;3;0;2;0;0;0;0;0;0;0;0;0;0
XFT-T2;3;2;3;0;1;1;0;0;0;0;0;0;0;0;0;0
XFT-E;3;2;0;1;0;3;0;0;0;0;0;0;0;0;0;0
XFT-SM;3;3;2;2;3;0;2;3;0;0;0;0;0;0;0;0
XFT-PG;0;0;0;0;0;2;0;3;0;1;0;0;0;0;0;0
OPO1;0;0;0;0;0;3;0;0;3;2;0;0;0;3;0;0
OPO2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SM1;0;0;0;0;0;0;0;3;3;0;2;3;4;0;0;0
SM2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DM1;0;0;0;0;0;0;0;0;0;2;0;0;0;3;4;4
DM2;0;0;0;0;0;0;0;0;0;4;0;0;0;3;3;0
PgM;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;3
O1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
