;CCB-A;CPI;CPI-Project-Lead;CPI-Writer;Feature-Pj-Leader;OPO;Product-Manager-RBS-Sys;RBS;Section-Manager;Strategic-PM;TC;TR-Admin;XFT-D;XFT-Scrum-Master;Designer;Manager;XFT-PG;PgM;APO;CA-Kanban-Master;Department-Manager;Project-Manager;PG;Change-Leader;Sector-Manager;TM
XFT-D;0.02;0;0;0.01;0;0.01;0.01;0.01;0.01;0;0.01;0;0.29;0.07;0.11;0.01;0.01;0;0;0;0;0;0.02;0;0;0
OPO;0;0;0;0;0;0.02;0;0;0.01;0;0;0;0.02;0.01;0;0;0.02;0.01;0;0;0;0;0;0;0;0
Section-Manager;0;0;0;0;0;0.01;0;0;0;0;0;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0
PgM;0;0;0;0;0;0.02;0;0;0;0;0.01;0;0;0;0;0;0;0.01;0.01;0.01;0;0;0;0;0;0
XFT-Scrum-Master;0;0;0;0;0;0.02;0;0;0.02;0;0;0;0.08;0;0.01;0;0;0;0;0;0.01;0.01;0;0;0;0
XFT-PG;0;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Department-Manager;0;0;0;0;0;0;0;0;0.04;0;0;0;0;0;0;0;0;0.01;0;0;0.02;0;0;0;0.01;0.01
CCB-A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CPI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CPI-Project-Lead;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CPI-Writer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Feature-Pj-Leader;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Product-Manager-RBS-Sys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RBS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Strategic-PM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TR-Admin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Designer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Manager;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
APO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CA-Kanban-Master;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Project-Manager;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Change-Leader;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sector-Manager;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
