"";"APO";"CA-Kanban-Master";"CCB-A";"CIRV";"CPI";"CPI-Project-Lead";"CPI-Writer";"Change-Leader";"DM-SM";"Department-Manager";"Designer";"Feature-Pj-Leader";"OPO";"PG";"PgM";"Product-Manager-RBS-Sys";"Project-Manager";"RBS";"Section-Manager";"Sector-Manager";"Strategic-PM";"TC";"TM";"TR-Admin";"XFT-D";"XFT-PG";"XFT-Scrum-Master"
"DM-SM";0;0;0;0;0;0;0;0;0;0.02;0;0;0.01;0;0.01;0;0;0;0.04;0.01;0;0;0.01;0;0.02;0;0.01
"OPO";0;0;0;0;0;0;0;0;0;0;0;0;0.01;0;0.01;0;0;0;0;0;0;0;0;0;0.01;0.01;0.01
"PgM";0.01;0;0;0;0;0;0;0;0.01;0;0;0;0.02;0;0.01;0;0;0;0;0;0;0.02;0;0;0;0;0
"XFT-D";0;0;0.01;0;0;0;0.01;0;0.02;0;0.09;0.01;0.01;0.01;0;0.01;0;0.01;0.01;0;0;0.01;0;0;0.32;0.01;0.07
"XFT-PG";0;0;0;0;0;0;0;0;0;0;0;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"XFT-Scrum-Master";0;0;0;0;0;0;0;0;0.01;0;0.01;0;0.01;0;0;0;0.01;0;0.01;0;0;0;0;0;0.07;0;0
"APO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CA-Kanban-Master";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CCB-A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CIRV";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CPI";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CPI-Project-Lead";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CPI-Writer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Change-Leader";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Department-Manager";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Designer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Feature-Pj-Leader";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"PG";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Product-Manager-RBS-Sys";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Project-Manager";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"RBS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Section-Manager";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sector-Manager";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Strategic-PM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TR-Admin";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
