combinations;tRole;tNature
70;XFT-D;B
15;XFT-Scrum-Master;B
14;O-XFT;E
13;XFT-D;R
12;XFT-D;E
7;XFT-D;D
6;CPI;B
6;O-XFT;R
5;Section-Manager;E
5;OPO;B
4;OPO;D
4;XFT-D;O-MBL-info
4;XFT-D;O-Project-and-Customer-Status
4;PG;E
3;XFT-D;U
3;O-XFT;U
3;DM-SM;B
3;FPjM;B
3;CCB;B
3;XFT-Scrum-Master;R
3;RBS;B
2;Department-Manager;E
2;PgM;O-Project-Steering
2;DM-SM;O-Line-Meeting
2;OPO;O-Program-Setup-Customer-Status
2;XFT-Scrum-Master;D
2;TC;E
2;OPO;E
2;RBS;D
2;XFT-PG;U
2;PjM;U
2;SPM;B
2;XFT-PG;B
2;Section-Manager;O-Program-Setup-AEM-Customer-Situation
2;Department-Manager;O-Goals
2;OPO;O-Backlog-Care
2;OPO;U
1;PjM;O-TR-Discussion
1;Sector-Manager;O-Customer-Escalation
1;CA-KM;O-Future-planning-next-release
1;TC;O-Backlog-Care
1;XFT-PG;R
1;XFT-PG;E
1;OPO;O-Demo
1;TR;B
1;CCB;D
1;PgM;B
1;TM;O-Goals-WOW
1;PgM;O-Backlog-Care
1;XFT-Scrum-Master;O-MBL-info
1;PgM;O-Planning-Features
1;Section-Manager;O-Customer-Escalation
1;Section-Manager;D
1;Sector-Manager;O-Customer-Situation
1;Section-Manager;O-Way-of-Working
1;DM-SM;D
1;XFT-Scrum-Master;E
1;Section-Manager;O-future
1;CIRV;O-Main-Track-Planning
1;TC;O-Backlog-Planning
1;APO;O-Backlog-Planning
1;APO;O-Planning-Features
1;OPO;O-scenario-planning
1;TC;O-Planning
1;DM-SM;O-planning
1;TC;B
1;APO;O-Future-planning-next-release
1;TC;O-Future-planning-next-release
1;DM-SM;O-Administrative
1;OPO;O-Planning-data-future-sprints
1;XFT-Scrum-Master;O-Project-and-Customer-Status
1;CL;O-WoW
1;PgM;O-P5G-preparation
1;O-XFT;B
1;PgM;Unknown
1;PgM;E
1;DM-SM;O-TR-Discussion
1;DM-SM;O-Section-Meeting
1;Department-Manager;O-Recruitment
1;TM;O-Section-Planning
1;Department-Manager;O-Recruitment-Way-of-Working
1;Sector-Manager;E
1;Section-Manager;O-WoW
1;TM;O-Goals
1;OPO;R
1;XFT-PG;O-Project-and-Customer-Status
1;TM;O-Behaviour
1;Section-Manager;Unknown
