;CIRV;DM;FVE;IT-S;LM;O-XFT;OPO;PG;PgM;SM-DM;SSE;SV;XFT-D;XFT-PG;XFT-SM
CIRV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FVE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IT-S;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O-XFT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPO;0;0;0;0;0;0;0;0.17;0.16;0.05;0;0;0.44;0.08;0.11
PG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PgM;0;0;0;0;0;0;0.45;0;0;0.14;0;0;0.03;0.03;0.34
SM-DM;0;0.14;0;0;0;0;0.14;0;0.14;0;0;0;0.4;0.09;0.08
SSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XFT-D;0.01;0;0;0;0;0;0.02;0;0.02;0.01;0;0;0.17;0.03;0.04
XFT-PG;0;0;0;0.03;0;0;0.03;0;0.03;0;0;0;0.75;0;0.16
XFT-SM;0;0;0.06;0;0.06;0.11;0.1;0;0.04;0.02;0;0.01;0.49;0.12;0
