;CIRV;DM;FVE;IT-S;LM;O-XFT;OPO;PG;PgM;SM-DM;SSE;SV;XFT-D;XFT-PG;XFT-SM
CIRV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FVE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IT-S;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O-XFT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPO;0;0;0;0;0;0;0;0.02;0.01;0;0;0;0.04;0.01;0.01
PG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PgM;0;0;0;0;0;0;0.02;0;0;0.01;0;0;0;0;0.01
SM-DM;0;0.02;0;0;0;0;0.02;0;0.02;0;0;0;0.06;0.01;0.01
SSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XFT-D;0;0;0;0;0;0;0.01;0;0.01;0;0;0;0.09;0.02;0.02
XFT-PG;0;0;0;0;0;0;0;0;0;0;0;0;0.03;0;0.01
XFT-SM;0;0;0.01;0;0.01;0.02;0.01;0;0.01;0;0;0;0.07;0.02;0
