;I-XFT-SM;N-XFT-SM;I-XFT-1;N-XFT-1;I-XFT-2;N-XFT-2;I-XFT-3;N-XFT-3;I-XFT-4;N-XFT-4;I-XFT-5;N-XFT-5;I-XFT-PG;N-XFT-PG;I-OPO1;N-OPO1;I-SM1;N-SM1;I-DM1;N-DM1;I-PgM
XFT-SM;;;3;B;3;B;3;B;;;3;B;;;3;D;;;5;O (Administrative);
XFT-1;3;B;;;;;;;;;3;B;;;;;;;;;
XFT-2;;;;;;;;;;;;;;;;;;;;;
XFT-3;4;R;;;4;R;;;;;3;R;;;;;;;;;
XFT-4;;;;;;;;;;;;;;;;;;;;;
XFT-5;;;2;U;1;U;1;B;;;;;2;U;;;;;;;
XFT-PG;2;;;;;;;;;;2;E;;;1;D;;;;;
OPO1;;;;;;;;;;;;;;;;;;;;;
SM1;;;;;;;;;;;;;;;;;;;;;
DM1;;;;;;;;;;;;;;;;;;;;;
PgM;;;;;;;;;;;;;;;2;O (Planning data future sprints;;;;;
