;XFT-0;XFT-1;XFT-2;XFT-3;XFT-4;XFT-5;XFT-PG;OPO1;OPO2;OPO3;SM1;SM2;DM1;DM2;PgM1;PgM2;APO1;Designer1;Designer2;CEB-admin;TC;CA KM;TM1;O6-I;O2-I
XFT-0;;3;3;3;;3;;3;;;;;5;;;;;1;;;;;;;1
XFT-1;3;;;;;3;;;;;;;;;;;;1;;;;;;;
XFT-2;;;;;;;;;;;;;;;;;;;;2;2;;;;
XFT-3;4;;4;;;3;;;;;;;;;;;;4;4;;;;;4;
XFT-4;;;;;;;;;;;;;;;;;;;;;;;;;
XFT-5;;2;1;1;;;2;;;;;;;;;;;1;;;;;;;
XFT-PG;2;;;;;2;;1;2;;;;;;;;;;;;;;;;
OPO1;3;;1;;;1;2;;;6;;;;;1;;;;;;;;;;
SM1;;;;;;;;;;;;;;;;;;;;;;;;;
DM1;;;;;;;;;;;;4;;5;;;;;;;;;2;;
PgM1;;;;;;;;2;;;;;;;;3;3;;;;3;3;;;
