;XFT-0;XFT-1;XFT-2;XFT-3;XFT-4;XFT-5;XFT-PG;OPO1;SM1;DM1;PgM;Designer1;O2-I;CEB-admin;TC;OPO2;CA KM;APO1;PgM2;O6-I;Designer2;OPO3;DM2;SM2;TM1
XFT-0;;3;3;3;;3;;3;;5;;1;1;;;;;;;;;;;;
XFT-1;3;;;;;3;;;;;;1;;;;;;;;;;;;;
XFT-2;;;;;;;;;;;;;;2;2;;;;;;;;;;
XFT-3;4;;4;;;3;;;;;;4;;;;;;;;4;4;;;;
XFT-4;;;;;;;;;;;;;;;;;;;;;;;;;
XFT-5;;2;1;1;;;2;;;;;1;;;;;;;;;;;;;
XFT-PG;2;;;;;2;;1;;;;;;;;2;;;;;;;;;
OPO1;3;;1;;;1;2;;;;1;;;;;;;;;;;6;;;
SM1;;;;;;;;;;;;;;;;;;;;;;;;;
DM1;;;;;;;;;;;;;;;;;;;;;;;5;4;2
PgM;;;;;;;;2;;;;;;;3;;3;3;3;;;;;;
Designer1;;;;;;;;;;;;;;;;;;;;;;;;;
O2;;;;;;;;;;;;;;;;;;;;;;;;;
CEB-admin;;;;;;;;;;;;;;;;;;;;;;;;;
TC;;;;;;;;;;;;;;;;;;;;;;;;;
OPO2;;;;;;;;;;;;;;;;;;;;;;;;;
CA KM;;;;;;;;;;;;;;;;;;;;;;;;;
APO1;;;;;;;;;;;;;;;;;;;;;;;;;
PgM2;;;;;;;;;;;;;;;;;;;;;;;;;
O6;;;;;;;;;;;;;;;;;;;;;;;;;
Designer2;;;;;;;;;;;;;;;;;;;;;;;;;
OPO3;;;;;;;;;;;;;;;;;;;;;;;;;
DM2;;;;;;;;;;;;;;;;;;;;;;;;;
SM2;;;;;;;;;;;;;;;;;;;;;;;;;
TM1;;;;;;;;;;;;;;;;;;;;;;;;;
